no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,,,Kalam Kudus Ambon,,,SMA,,,,,,,,,,,,,,,,,,20,20,20,,,
,,,St. Thomas Aquino,,,SMA,,,,,,,,,,,,,,,,,,60,60,60,,,
,,,Semen Gresik,,,SMA,,,,,,,,,,,,,,,,,,,,,,,
,,,Anak Bangsa,,,SMA,,,,,,,,,,,,,,,,,,20,20,20,,,
,,,Petra 4,,,SMA,,,,,,,,,,,,,,,,,,,,,,,
,,,Petra Acitya,,,SMA,,,,,,,,,,,,,,,,,,,,,,,
,,,Fransiskus Kramat,,,TK,,,,,,,,51,,,,,,,,,,,,,,,
,,,Fransiskus Kayu Putih,,,TK,,,,,,,,57,,,,,,,,,,,,,,,
,,,Miryam,,,TK,,,,,,,,50,,,,,,,,,,,,,,,
,,,Stella Maris GS,,,TK,,,,,,,,90,,,,,,,,,,,,,,,
,,,Fransiskus Kramat,,,SD,,,,,,,,,26,26,35,24,25,37,,,,,,,,,
,,,Fransiskus Kayu Putih,,,SD,,,,,,,,,52,54,52,48,47,62,,,,,,,,,
,,,Aloysius,,,SD,,,,,,,,,45,37,35,42,45,63,,,,,,,,,
,,,Stella Maris GS,,,SD,,,,,,,,,51,91,-,-,-,-,,,,,,,,,
,,,St. Maria Pekanbaru,,,SMP,,,,,,,,,,,,,,,246,231,221,,,,,,
,,,St. Yosep Duri,,,SMP,,,,,,,,,,,,,,,157,145,137,,,,,,
,,,Fransiskus Kramat,,,SMP,,,,,,,,,,,,,,,20,13,37,,,,,,
,,,Yoannes XIII Semarang,,,SMP,,,,,,,,,,,,,,,114,108,135,,,,,,
